uniquecolumnheading,self-employed,num-employees,tech-employer,tech-role,has-mental-health-benefits,know-mental-health-options,discussed-mental-health,has-mental-health-resources,anonymity-protected,mental-health-leave-ease,comfort-discussing-health,discuss-mental-health-supervisor,discussed-mental-health-employer,mental-health-talk-employer,discuss-mental-health-coworkers,discussed-mental-health-coworkers,mental-health-talk-coworkers,coworker-mental-health-discussion,coworker-mental-health-talk,importance-physical-health,importance-mental-health,mental-health-coverage,know-mental-health-resources,reveal-mental-health-clients,effect-reveal-mental-health,reveal-mental-health-coworkers,impact-reveal-mental-health,productivity-mental-health,percentage-affected-mental-health,previous-employers,previous-tech-employer,previous-mental-health-benefits,aware-previous-mental-health-options,discussed-mental-health-previous,previous-mental-health-resources,previous-anonymity-protected,previous-comfort-discussing-health,previous-discuss-mental-health-supervisor,previous-discussed-mental-health,previous-mental-health-talk-employer,previous-discuss-mental-health-coworkers,previous-discussed-mental-health-coworkers,previous-mental-health-talk-coworkers,previous-coworker-mental-health-discussion,previous-coworker-mental-health-talk,previous-importance-physical-health,previous-importance-mental-health,current-mental-health-disorder,diagnosed-mental-health,anxiety-disorder,mood-disorder,psychotic-disorder,eating-disorder,adhd,personality-disorder,ocd,ptsd1,stress-response,dissociative-disorder,substance-use,addictive-disorder,other,anxiety-disorder1,mood-disorder1,psychotic-disorder1,eating-disorder1,adhd1,personality-disorder1,ocd1,post-traumatic-stress-disorder_1,stress-response1,dissociative-disorder1,substance-use1,addictive-disorder1,other1,anxiety-disorder2,mood-disorder2,psychotic-disorder2,eating-disorder2,adhd2,personality-disorder2,ocd2,ptsd2,stress-response2,dissociative-disorder2,substance-use2,addictive-disorder2,other2,past-mental-health-disorder,sought-treatment,family-history-mental-illness,mental-health-interference-treated,mental-health-interference-untreated,observations-mental-health-discussion,share-mental-illness,physical-health-interview,physical-health-reason,mental-health-interview,mental-health-reason,open-mental-health,mental-health-career,mental-health-career-effect,team-reaction,unsupportive-response,unsupportive-response-details,supportive-response,supportive-response-details,industry-support,improve-industry-support,additional-comments,interview-mental-health,age,gender,country-live,us-state-live,race,other3,country-work,us-state-work,year,covid-19-diagnosis,start-date,submit-date,network-id
uop37cpihrar58muop31m2720t98t5pk,0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,1.0,She asks me on a permanent basis. I have the feeling I can go to the councillors and I feel well supported.,Yes,1.0,We have frequent check-ins and informal meetings,1.0,We speak about discrimination and its mental health effects and much more (like hormonal swings....),9.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,I don't know,N/A (was not aware),I don't know,None did,I don't know,Physical health,I don't know,0.0,nan,"Yes, at all of my previous employers",1.0,how are you,0.0,nan,3.0,2.0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,"Eating Disorder (Anorexia, Bulimia, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,1,Yes,Sometimes,Often,Yes,7,Yes,I would like to check which resources they provide,Yes,I would like to see how they deal with it,0,nan,nan,8,"Yes, I experienced",BLM,"Yes, I observed",nan,4,people bring their true self to work and I love that,the pressure because of the constant changes make it hard to take a baby break / sabbatical etc.,1,24,Female,United Kingdom,nan,nan,nan,United Kingdom,nan,2021,nan,2021-02-08 12:49:12,2021-02-08 12:57:00,7640c554fe
e6bjtfokuvmqevvyacepe6bbkqjqdhx0,0,100-500,1.0,1.0,Yes,Yes,Yes,I don't know,Yes,Neither easy nor difficult,Physical health,Yes,0.0,nan,Yes,0.0,nan,0.0,nan,7.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,"Yes, they all did",I was aware of some,None did,None did,"Yes, always",Physical health,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,5.0,3.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,1,Yes,Never,Sometimes,No,9,No,"I don't have any physical health issues, but discussing any sort of health issues during an interview doesn't seem appropriate, unless asking about benefits.",No,Same as before; inappropriate during an interview and only tangentially appropriate when asking about benefits.,0,nan,nan,9,No,nan,No,nan,3,Place more emphasis on mental health; destigmatizing mental health disorders; discussing and encouraging the need to take periodic mental days.,"For the most part I have never experienced any sort of interaction between my employer and someone with mental health disorders because of the secretive nature of employee health; however, I do believe that my current employer would handle this well if out in the open. I also believe previous employers may also handle this well as mental health has come to the forefront in recent years and I see a push to be more caring in these matters across the industry, though there is still a long way to go.",0,29,M,United States of America,Alabama,White,nan,United States of America,Alabama,2021,nan,2021-02-06 15:22:21,2021-02-06 15:30:56,b4a42b6033
ct3ya81i0baxmldbewct3yad0yuk5tmt,0,500-1000,1.0,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,Physical health,No,0.0,nan,No,0.0,nan,0.0,nan,6.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,1,I don't know,Often,Often,Yes,0,Yes,It might help them understand any difficulties related to my health that I face during work that might affect my performance.,No,"Managing mental health issues requires a lot of effort from the person affected. I am worried that an ongoing mental health issue might be perceived as an indication that I am not responsible enough to put in the work required.

I am also worried that the uncertain, sporadic nature of mood disorders might make the interviewer consider me as potentially non-reliable.

Also, mental health issues are commonly perceived in my social circle as ""millennials making excuses for their laziness""; I am worried I would be viewed as making excuses.",0,nan,nan,2,No,nan,"Yes, I observed",nan,1,"This is what I wish I had at my first job - 

1. As part of employee orientation, include sessions on mental health and wellness
2. Stress the importance of taking breaks 
3. Make blog posts on organizational intranet about how it is okay to go through difficult times
4. Provide/ link to resources to manage mental health
5. Have monthly non-work related events for socialization with colleagues, even something as simple as stepping out for coffee as a team.",We appreciate the passionate people who dedicate their entire lives to their work but it is important to let people know that it is not required for every single employee to be like that. Good performance at work during the work within reasonable work timings should be enough to qualify as a great employee.,1,27,Female,India,nan,nan,nan,India,nan,2021,nan,2021-02-05 17:02:13,2021-02-05 17:33:32,4767b954ee
0skjnzwgxsj6lyjqsjxh0skjnzwgizxk,0,500-1000,1.0,1.0,I don't know,No,No,I don't know,Yes,I don't know,Same level of comfort for each,No,0.0,nan,No,0.0,nan,0.0,nan,8.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Don't Know,1,I don't know,Sometimes,Sometimes,No,2,Maybe,I think it can affect whether you will get promoted or not.,No,It is too personal,0,nan,nan,5,Maybe/Not sure,nan,Maybe/Not sure,nan,3,na,"I think it is vital either the participant was informed that a signed consent was waived,  participants or were asked to review a consent page and select a response indicating their consent.",1,25,Female,United States of America,Virginia,Asian,nan,United States of America,Virginia,2021,nan,2021-02-05 00:42:17,2021-02-05 00:50:43,05a374f654
dop300qi79gnph4kdop30qgk7agt0ars,0,More than 1000,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Very easy,Same level of comfort for each,Maybe,1.0,The amount of stress and depression being caused by the pandemic as well as building anxiety. Was encouraged to take mental wellness time at my discretion without taking PTO as well as encouraged to make sure that I also used PTO if I needed continuous level-set.,Yes,1.0,Very positive. Felt very reassuring to them that they were not alone in their struggles.,1.0,How we could best support and check in with each other,8.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,Some did,I was aware of some,Some did,Some did,No,Same level of comfort for each,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,5.0,3.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,Attention Deficit Hyperactivity Disorder,nan,nan,Post-traumatic Stress Disorder,nan,nan,nan,nan,nan,Yes,1,Yes,Rarely,Sometimes,Maybe,10,No,Would not want to experience discrimination,No,Would not want to experience discrimination,1,0.0,nan,10,Maybe/Not sure,nan,"Yes, I observed",nan,4,Continue to be open about this being an issue within tech,Would like to track via gender and race,1,47,woman,United States of America,North Carolina,Asian,nan,United States of America,North Carolina,2021,nan,2021-02-03 16:58:39,2021-02-03 17:06:47,2b0f2813d0
79v5h2qbh2e8pwkuw79vefmu8vbpi04d,0,More than 1000,1.0,0.0,Yes,Yes,Yes,Yes,Yes,I don't know,Same level of comfort for each,Maybe,1.0,"My boss was pretty ambivalent. Seemed uncomfortable and unsure how to react. Nervously started talking about experiences she had that were not at all like what I was describing to her. I think she was *trying* to relate, when what I really needed was to feel heard. No actions were taken and honestly left the conversation feeling drained and a little dismissed.",Maybe,1.0,"I've had conversations with members of our Neurodiversity/mental health group that have gone really well. I never really shake the feeling that I am oversharing though. For my other coworkers, I bring it up and feel heard/seen or validated in varying degrees but again, most of the time it feels like I've taken my clothes off. I have a few coworkers that I can be vulnerable with but mostly I'm left feeling cold.",1.0,"Because of my affiliation with the ERG I mentioned previously, I've had people reach out to me on several occassions to talk about their own mental health - in varying degrees of crisis. I do my best, but I often don't feel equipped. My goals this year are to complete training such as Mental Health First Aid so that I don't do more harm than good in these situations.",5.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,"No, none did",N/A (none offered),I don't know,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",1.0,"Only one boss. He gave helpful advice and later became my mentor. Sometimes he gave unhelpful advice (like, pick yourself up by your bootstraps kind of advice) but he would listen and I would feel that he heard and understood.","No, at none of my previous employers",0.0,nan,0.0,nan,2.0,2.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,Attention Deficit Hyperactivity Disorder,nan,nan,Post-traumatic Stress Disorder,Stress Response Syndromes,nan,nan,Addictive Disorder,nan,Yes,1,Yes,Sometimes,Often,Maybe,8,No,I would be concerned that it would affect my ability to get the position because they would think I am somehow less capable than other applicants.,No,"Same answer. I don't want to be seen as less capable. They might make up a story based on what they have seen mental illness portrayed as in the media that I will cause problems, behave problematically, take a lot of management, or otherwise be a risky hire.",1,1.0,7.0,5,Maybe/Not sure,nan,"Yes, I experienced",nan,2,"We need to change people's minds about what the capabilities of people with mental illness are. Just because you have mental illness, does not mean ytou are resigned to a life that is sad, disconnected, difficult, or unprosperous. People need to understand that talking about these perceptions are the only way to change them.","Love that you are doing this work, I've just heard about it through the ERG I mentioned. I am going to mention to leadership that we find ways to amplify what you are doing as we are also an open source company and I would love to see how we can support you.",1,30,Female,United States of America,North Carolina,White,nan,United States of America,North Carolina,2021,nan,2021-01-31 19:29:40,2021-01-31 20:05:23,683905c16b
ycgwiek160rg31geeycgwivsmupp7487,0,More than 1000,1.0,1.0,I don't know,No,Yes,I don't know,Yes,I don't know,Physical health,Yes,0.0,nan,Maybe,1.0,"I've discussed my ADHD in my current role and previous role, and my bipolar disorder in my previous role. I chose to share it once I felt comfortable with select coworkers and was met with support - they also then shared their own diagnoses.",1.0,"Once I shared my own, other people felt comfortable sharing theirs.",6.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,Some did,I was aware of some,None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",0.0,nan,At some of my previous employers,1.0,nan,1.0,nan,8.0,4.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,Attention Deficit Hyperactivity Disorder,nan,nan,nan,nan,nan,nan,nan,nan,Yes,1,Yes,Sometimes,Often,No,9,Maybe,"If it's natural to conversation I might be open, but would probably not share anything that could be perceived as negative, physical or mental.",No,I don't want an employer to view me as unfit because of my neurodiversity and the challenges it can bring in a traditional professional setting.,0,nan,nan,8,Maybe/Not sure,nan,No,nan,2,"Better work-life balance, greater discussions around mental health and working with neurodiverse colleagues, campaigns and support for a variety of mental health issues and disorders (ex: I find that when mental health IS discussed it's often referring only to treating anxiety or depression, not other diagnoses that can be more complicated to explain).",nan,0,33,female,United States of America,New Hampshire,White,nan,United States of America,New Hampshire,2021,nan,2021-01-28 01:11:51,2021-01-28 01:20:38,d13fc02d6c
ixjb79gs2s1eoixjn3y4vomrgncjkq4w,0,More than 1000,1.0,1.0,Yes,No,Yes,No,I don't know,Somewhat easy,Physical health,No,0.0,nan,Maybe,1.0,"Discussed feeling disconnected and unmotivated, didn't fully open up about how we were struggling",1.0,Discussed how they were feeling unproductive/isolated while working from home,5.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Autism spectrum disorder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,1,Yes,Often,Often,Yes,1,No,Don't want to open myself to potential discrimination,No,"Fearful of discrimination, and also very uncomfortable discussing mental health",0,nan,nan,5,No,nan,No,nan,3,Explicitly stating that sick leave includes mental health. Encouraging flexible work hours,nan,0,23,Non-binary,Australia,nan,nan,nan,Australia,nan,2021,nan,2021-01-27 22:22:17,2021-01-27 22:30:29,1f8170e8d4
vtifi47u64udmjgvti37y2l3klfswfip,0,More than 1000,1.0,1.0,Yes,Yes,I don't know,Yes,Yes,I don't know,Physical health,Maybe,1.0,I mentioned that I've been distracted & less than full productive due to stressors in my life.,Maybe,1.0,I've shared my personal information only with the most select group of trusted co-workers.  Ones that I've known for years and across multiple positions.,0.0,nan,6.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,Some did,I was aware of some,None did,Some did,"Yes, always",Physical health,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",0.0,nan,1.0,Co-worker discussed their ADHD diagnosis,8.0,6.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,1,I don't know,Never,Often,No,10,No,Unlikely to get hired. They'll come up with some BS reason to not hire me.,No,See previous written answer,1,0.0,nan,6,Maybe/Not sure,nan,Maybe/Not sure,nan,2,Destigmatize the diagnosis and allow people to be more open about it.,"Thank you so much for doing this. It's hard, but worth it.",1,37,Male,United States of America,Oregon,White,nan,United States of America,Oregon,2021,nan,2021-01-27 16:10:11,2021-01-27 20:20:54,8f386735fb
7zx2psiyqz4ep41i77zx2pptvwd8m0bq,0,More than 1000,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,0.0,nan,Yes,1.0,"Neurodiversity chat room conversations, work-life balance/burnout conversations",1.0,"Talking about different therapists, medications, conditions with several co-workers",6.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,Some did,"Yes, I was aware of all of them",I don't know,Some did,"Yes, always",Physical health,Some of my previous supervisors,0.0,nan,At some of my previous employers,1.0,nan,0.0,nan,9.0,6.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,Obsessive-Compulsive Disorder,nan,nan,nan,nan,nan,nan,Yes,1,Yes,Rarely,Sometimes,No,10,Maybe,If it was relevant to the job or I needed accommodation,Maybe,If I needed accommodation,1,0.0,nan,6,No,nan,"Yes, I experienced",nan,4,No-copay visits for therapy,nan,1,30,Female,United States of America,North Carolina,White,nan,United States of America,North Carolina,2021,nan,2021-01-27 16:06:44,2021-01-27 18:37:30,f5a4109f7b
4qw8vn2f9yf0dkrt4qw8vnawy9qrjv3i,0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,Yes,I don't know,Same level of comfort for each,Yes,0.0,nan,Yes,1.0,nan,1.0,nan,7.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,0.0,nan,"Yes, at all of my previous employers",0.0,nan,0.0,nan,5.0,1.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)",nan,nan,nan,nan,nan,Obsessive-Compulsive Disorder,Post-traumatic Stress Disorder,nan,nan,nan,Addictive Disorder,nan,Yes,1,Yes,Rarely,Often,No,9,Yes,There's no shame in seeking accommodations,Maybe,There's still enough stigma around my particular disorders that I'd be reluctant to bring it up at the interview stage,1,0.0,nan,5,Maybe/Not sure,nan,"Yes, I experienced",nan,1,I don't think mental health is taken very seriously by the industry as a whole,nan,1,36,Non-binary/Agender,United States of America,North Carolina,White,nan,United States of America,North Carolina,2021,nan,2021-01-27 12:39:41,2021-01-27 12:48:51,9df64d632e
wd4f6y7i17wdzmehb1pp7gz7qzmvkvyv,0,100-500,1.0,1.0,No,No,No,No,Yes,Neither easy nor difficult,Physical health,Maybe,0.0,nan,No,1.0,"Hard conversation, mixed reactions. Worst reaction was that I was making stuff up to get off work.",0.0,nan,7.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,"No, none did",N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,5.0,0.0,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,Yes,Rarely,Sometimes,Maybe,3,Yes,I'd discuss a physical health issue to find out if the company can accommodate any specific needs I may have because of the issue.,No,It would kill any chances of getting the job,0,nan,nan,3,"Yes, I observed",Gossip and outright offensive comments,Maybe/Not sure,nan,1,Move past the myth of meritocracy.,nan,0,42,Male,Greece,nan,nan,nan,Greece,nan,2021,nan,2021-01-25 14:01:59,2021-01-25 14:19:08,923045842d
pjvbo69gr1g4xpfi0vtwpjvbobl2z3k0,0,26-100,1.0,0.0,Yes,Yes,No,Yes,I don't know,I don't know,Physical health,Maybe,0.0,nan,Maybe,0.0,nan,0.0,nan,6.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Not applicable to me,Not applicable to me,nan,5,Maybe,Depending on how relevant the issue is.,No,"This is like saying no before even trying, and employer is not paying to babysit employees.",0,nan,nan,7,Maybe/Not sure,nan,Maybe/Not sure,nan,3,Help employer to balance life and work,nan,0,40,F,United States of America,California,Asian,nan,United States of America,California,2021,nan,2021-01-18 06:53:42,2021-01-18 07:07:25,30c8aee15b
s66a636pa3coxfzuaycys66a63igtckg,0,More than 1000,1.0,1.0,I don't know,Yes,I don't know,No,I don't know,Neither easy nor difficult,Physical health,Maybe,0.0,nan,Maybe,1.0,in,0.0,nan,9.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,0,No,Sometimes,Sometimes,Yes,8,Maybe,for open communication,Maybe,for open communication,0,nan,nan,7,No,nan,Maybe/Not sure,nan,3,idk,nan,0,23,female,China,nan,nan,nan,China,nan,2021,nan,2021-01-18 01:42:36,2021-01-18 01:49:17,da54990568
99h64mgdglcneivxn04ljo99h60pg0on,0,100-500,1.0,1.0,I don't know,No,No,No,I don't know,Difficult,Physical health,Maybe,0.0,nan,No,0.0,nan,1.0,This person opened up about suicidal ideation and things that sound like longterm depression. I told them I was touched they trusted me enough to share and recommended seeking a professional for help. We also hung out for hours talking.,8.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,Some did,I was aware of some,Some did,Some did,I don't know,Mental health,Some of my previous supervisors,0.0,nan,At some of my previous employers,1.0,nan,1.0,nan,10.0,8.0,Possibly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,Attention Deficit Hyperactivity Disorder,nan,nan,nan,nan,nan,nan,Addictive Disorder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,Yes,Sometimes,Often,No,8,Maybe,"It would depend on the organization. The older and larger the company, the less likely I would be to bring it up.",No,"It would depend on the organization, but, unless there was some discussion on mental health that led me to believe there was a conversation to be had, I wouldn't initiate one.",0,nan,nan,3,"Yes, I observed",nan,"Yes, I observed",nan,1,"The industry seems stuck in two modes: 1) Mental Health is a person problem, we don't talk about it, keep it to yourself. 2) Things like OCD and AD(H)D make better developers and DevOps engineers - their mental health issues are a super power, not a liability!!",nan,0,45,Male,United States of America,New York,White,nan,United States of America,California,2021,nan,2021-01-13 20:37:34,2021-01-13 20:48:25,3e9b7b2fee
1rl0kqyzadn911rl084zs2bn92jzrduj,0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Physical health,Maybe,0.0,nan,No,0.0,nan,0.0,nan,9.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,"No, none did",N/A (none offered),None did,None did,No,Physical health,Some of my previous supervisors,0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,6.0,0.0,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,No,Sometimes,Often,nan,2,Yes,I will bring it up because my employer needs to be aware about how my personal life may affect my professional life,No,I wouldn't bring it up because in my opinion employers in India do not understand mental health issues well and do not prefer employees who cannot focus on their job no matter what,0,nan,nan,6,No,nan,No,nan,2,"Instead of organizing yoga sessions, work with mental health professionals to understand how different types of employees respond to different scenarios and what can be done to support their mental health",nan,0,30,Male,India,nan,nan,nan,India,nan,2021,nan,2021-01-13 12:32:18,2021-01-13 12:48:58,7e94b3b509
ny2qqlz102jdouxgny2i9vcbze59wrj7,0,More than 1000,0.0,1.0,I don't know,No,Yes,I don't know,I don't know,Very easy,Physical health,No,0.0,nan,No,0.0,nan,0.0,nan,10.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,I don't know,N/A (was not aware),I don't know,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,7.0,5.0,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Possibly,0,Yes,Not applicable to me,Not applicable to me,nan,8,Maybe,because it may influence their decision on whether I should be hired or not.,No,because it may influence their decision on whether they should hire  me or not.,0,nan,nan,5,Maybe/Not sure,nan,"Yes, I observed",nan,1,"Start conversations, offer medical support.",It is a very specific case but if you ever go deeper in the study you should address more insightful topics such as mental health in new tech mothers.,1,34,female,Germany,nan,nan,nan,Germany,nan,2021,nan,2021-01-13 09:32:51,2021-01-13 09:43:35,48105a9b19
p19pqlccu892sd2h1p19pq6yj8we8vd3,0,26-100,0.0,1.0,I don't know,No,No,No,No,Difficult,Physical health,Maybe,0.0,nan,No,1.0,Spoke to another dev how depressing our job can be. We both learned we felt the same way in being in a dark place.,1.0,same as last question,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,Some did,I was aware of some,None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,nan,"No, at none of my previous employers",0.0,nan,0.0,nan,5.0,3.0,Yes,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yes,0,Yes,Sometimes,Sometimes,No,0,Maybe,"Depends on the issue. If I needed something like wheelchair access, etc. I would talk about that.",No,I feel like that is frowned upon and looked at like I am crazy.,0,nan,nan,4,No,nan,No,nan,2,Talk about it more and take it seriously. I develop better when my head is level-headed and not depressive.,nan,0,45,Male,United States of America,Florida,White,nan,United States of America,Florida,2021,nan,2021-01-12 16:52:45,2021-01-12 17:03:45,a02cab5f45
